1011,1993-09-20,Lipsy + Planet,"Av. de los Incas 4370, Buenos Aires",Venue: Lipsy;Venue: Planet;Genre: EBM;Genre: Industrial;Genre: New Beat;Genre: Rave,"Por esa época empezamos a llevar CD's de música Rave a Lipsy y el DJ (Gerardo) se animaba y nos pasaba siempre 'Wind it Up (Tightly Wound)', a veces 'G-Force (Energy Flow)' y una vez 'Everybody In The Place' de The Prodigy, 'Trip II The Moon, The Dark Side (Part 2)' de Acen y/o Output & DJ Oz 'Reset', con los que podíamos bailar algo de Rave.\n\nUna noche había una fiesta en una disco de Vicente López que se llamaba 'Planet' (un lugar al que después volví). Noche de mucho frío; mis viejos nos llevaron a Liniers con el Falcon a Luciano, Marcelo, Natalia y Nerina, y de ahí nos tomamos un colectivo y llegamos al lugar.\n\nLa disco era mediana, había algunos modernosos con anteojos raros, y conchetos también. Sin embargo, bailamos bastante Industrial y el último tema de la noche fue 'The Bog' de Bigod 20, en un momento en que justo estábamos conociendo al grupo. Luciano se tiró al piso porque no lo podíamos creer; ese tema es glorioso y sonaba justo esa noche. ",/images/1993-Lipsy.webp;/images/TheFirstReport_007a.webp
1012,1993-10-01,New Order,"Av. Cabildo 4663, Buenos Aires",Venue: New Order;Genre: EBM;Genre: Industrial;Genre: Rave;Artist: Unidad de Transmisión,"Falta algo. El 1 de octubre, Unidad de Transmisión tocó en New Order; y antes de que toquen, el DJ pasó los siguientes temas de The Prodigy: 'Jericho', 'Fire', 'Ruff In The Jungle Bizness' y 'Music Reach (1/2/3/4)'.\n\nAl principio nadie bailaba; Diego, Luis y Luciano y yo nos pusimos a bailar, desde el primer tema. Cuando íbamos por el cuarto tema ya éramos como 14 tipos bailando Rave. Muy grosso.\n\nUnidad tocaron muchos temas, entre ellos 'Run Away' que no salió en la grabación de Diego T. La Tengo.",/images/1993-NewOrder-01-10-93.webp;/images/TheFirstReport_008b.webp
1013,1993-11-01,Fifth Avenue (Fracaso),"Cabildo y Juramento, Buenos Aires",Venue: Fifth Avenue,"Me acuerdo que en el '93, habíamos ido con Luciano, Marcelo, Diego T, Javier Martín a bailar ahí y nos encontramos con un montón de gente de Lipsy.\n\nLa cola avanzaba y un chico que se llama Maxi se suponía que nos podía hacer pasar. Nos enteramos que el dueño no quería que entremos porque decía que éramos Punks! Estuvimos como tres horas y media esperando que nos dejen entrar; hacía frío y nos estábamos cansando de esperar.\n\nUn rato antes, Ariel de Lipsy había insultado al patovica de la entrada, lo corrieron, pero no lo agarraron. Quizás por eso no nos dejaron entrar. Horrible noche.",/images/TheFirstReport_033a.webp
1014,1993-12-17,Die Schule,"Alsina 1671, Buenos Aires",Venue: Die Schule;Artist: Cadáver Exquisito;Artist: Cenobitas;Artist: Codex;Artist: Fase Uno;Genre: Synth Pop;Genre: EBM;Genre: Industrial;Genre: Experimental,"Ese viernes yo tenía que recuperar un parcial de Programación 1, y a la noche había un evento en Die Schule en el que iban a tocar Codex, Fase Uno, Cadáver Exquisito y Cenobitas.\n\nEn el parcial me fue como el orto, y nos fuimos a Die Schule con Luis, Diego y Leonardo, que se llevó un grabador para almacenar la música tocada.\n\nMuy buena la actuación de Codex; los otros grupos no eran nada del otro mundo. Tengo la grabación de Codex y algo de Fase Uno, que hicieron un cover de 'Waiting For The Night' de Depeche Mode.",/images/1993-DieSchule-17-12-93.webp;/images/TheFirstReport_008a.webp;/images/TheFirstReport_008b.webp
1015,1993-12-18,The Probe (Cancelado),"Hipólito Yrigoyen 3750, Buenos Aires",Venue: The Probe;Artist: Cyclamen,"En diciembre, en plena época de finales en la Facultad, Luciano, entusiasmado, me cuenta que se iba a organizar un evento en The Probe donde iban a tocar muchos grupos Techno y, que de casualidad, se habían enterado por Matías de Unidad de Transmisión, y se anotaron.\n\nSe hacía el sábado 18/12/93. Como este país es una mierda, el evento se canceló. Bah, el país no es una mierda, la gente es muy cerrada y muy retrógrada. Lamentable.",/images/1993-TheProbe-18-12-93.webp;/images/1993-TheProbe-15-12-93.webp;/images/1993-TheProbe-15-12-93b.webp;/images/TheFirstReport_008a.webp
1016,1994-01-01,"Lipsy, Enero 94","Av. de los Incas 4370, Buenos Aires",Venue: Lipsy;Artist: Nostromo;Genre: EBM;Genre: Industrial;Genre: Synth Pop;Genre: Post Punk;Genre: Gothic Rock,"El primero de enero fuimos a Lipsy, con un grupo de gente bastante establecido. Básicamente, éramos Luciano, Javier, Martín, Diego T, mi hermano y yo. Los otros rotaban según la ocasión.\n\nEse día conocimos a Cybertron, que era un personaje. Fue la mejor noche de Lipsy en lo que a música se refiere y comenzaron a ir más mujeres.\n\nEl segundo sábado de enero tocó el grupo de Hernán y éramos bastantes, el caradura de Leonardo faltó, y el sonido de Nostromo falló un poco. Pablo D cantó en dos temas con onda medio Techno Pop y, como siempre, los technosos nos acercábamos al lugar donde tocaba el grupo, y los alternativos o los Darks se quedaban atrás tomando algo o esperando que el grupo termine.\n\nA partir de enero comenzó a sonar 'The Bog' todos los sábados. ",/images/1994-Lipsy-08-01-94.webp;/images/TheFirstReport_010a.webp
1017,1994-02-26,"Lipsy, Febrero 94","Av. de los Incas 4370, Buenos Aires",Venue: Lipsy;Genre: Synth Pop;Genre: Post Punk;Genre: Gothic Rock,"Nos esperaba la Commodore Amiga y en unos días yo tenía que empezar a estudiar para la Universidad. A principios de abril venía Depeche Mode, pero corría marzo, y yo me la pasaba estudiando en la semana y saliendo los fines de semana.\n\nLipsy una vez, creo que la última. Los Darks y los alternativos nos odian, no soportan que nosotros seamos distintos porque nosotros nos divertimos. Ellos son casi rockeros, decadentes, depresivos y obsoletos.\n\nEn un momento en que suena 'Ice Machine' gritamos y el enfermo de Ariel (el alternativo Nro. 1) nos empezó a gastar en el medio de la pista. Lo puteamos de arriba a abajo y se tuvo que callar la boca.\n\nCreo que desde ese día no pasaron nunca más Rave. Lipsy llegaba a su fin lentamente... ",/images/1993-Lipsy.webp;/images/TheFirstReport_012a.webp
1018,1994-03-01,Crazy House,"Pasaje Dellepiane 657, Buenos Aires",Venue: Crazy House;Genre: Acid House;Genre: Hardcore;Genre: EBM;Genre: Industrial;Genre: New Beat;Genre: Synth Pop;Genre: Rave,"Luciano me cuenta por teléfono que había ido a un lugar muy chico cerca de Congreso que se llamaba Crazy House y que habían pasado mucho Techno Pop, y no había todavía mucha gente.\n\nFuimos, no sé si un viernes o un sábado, con mi hermano, Diego, Javier, Martín, Damián ('el brasilero Electrometal'), Luciano, Laura y Diego B.\n\nAl principio de todo un poco. Un tema de Ramirez, después todo el Techno Pop, muy buen Acid House, mucho New Beat, un poco de EBM/Industrial, y muchísimo Rave y Hardcore.\n\nCreo que estuvimos más de tres horas bailando sin parar hasta que sonó el último tema Rave, al final se daban el lujo de repetir Techno Pop y new beat.\n\nCreo que la mejor música la escuché en ese lugar: OK, 16 Bit, Alphaville, Depeche Mode, Cetu Javu, Camouflage, Noname 'Fashion', Axodry, Front 242, Nitzer Ebb, Hithouse, S'Express, Human Resource 'Sick', 'Nine Is A Classic' de Ace The Space, 'Out Of Space', Moby 'Thousand', etc.\n\nA Crazy House solo pudimos ir dos veces (consecutivas); después cerró.\n\nPensar que la piel se nos estremece al escuchar ciertos tonos o sonidos.",/images/1994-CrazyHouse.webp;/images/TheFirstReport_012b.webp
1019,1994-03-17,"Loca Bohemia, Marzo 94","Av. La Plata 727, Buenos Aires",Venue: Loca Bohemia;Genre: EBM;Genre: Industrial;Genre: Synth Pop;Artist: Cyclamen;Artist: Räderwerk/Reder,"El 17 de marzo tocó Cyclamen en Loca Bohemia por primera vez. También tocó Räderwerk y, mientras tocaban, estuve todo el tiempo cagándome de risa por los comentarios de Leo, que les dio con un palo.\n\nDespués tocó Cyclamen y estuvo muy bueno, nosotros ahí abajo festejando los temas que conocíamos y los gritos de Cybertron (grabados en cinta), acerca de la ausencia de guitarras.",/images/TheFirstReport_017a.webp
1020,1994-04-02,1st House Rave,"Ramos Mejía, Buenos Aires",Venue: Home;Genre: Industrial;Genre: Synth Pop;Genre: Rave,"La semana anterior al recital hicimos una Rave en mi casa. Ariel nos prestó un centro musical, yo saqué mi vieja bandeja y pusimos discos y CD's entre todos.\n\nVinieron Luciano, Laura, Diego T, Diego B, Marcelo, Natalia, Nerina, Javier, Martín, Patricio, Hernán, Valeria, Ariel, una amiga de Patricia y Cybertron vinieron más tarde.\n\nHubo bastante alcohol, vodka para preparar destornilladores, gaseosas, música Techno Pop, Industrial y Rave. Globos con caritas House pintadas y leyendas tipo 'FULL ON MASK HYSTERIA'. Estuve mucho tiempo mareadísimo.\n\nTerminó de día, como a las seis de la mañana. Todos me dijeron que la pasaron muy bien y que estuvieron muy cómodos. Bastante imponente por estar en el país del mate y el fútbol.",/images/TheFirstReport_016b.webp
